#  wl(um)    flux(Jy)  eflux(Jy) 
  14.23871   0.003982   0.000350 
  14.32338   0.004335   0.000330 
  14.40806   0.003847   0.000320 
  14.49274   0.003671   0.000319 
  14.57741   0.003818   0.000329 
  14.66209   0.003455   0.000351 
  14.74677   0.003185   0.000375 
  14.83145   0.003694   0.000403 
  14.91612   0.003858   0.000397 
  15.00080   0.003044   0.000383 
  15.08548   0.003335   0.000370 
  15.17015   0.002573   0.000423 
  15.25483   0.002634   0.000348 
  15.33951   0.003056   0.000320 
  15.42418   0.003275   0.000312 
  15.50886   0.002911   0.000291 
  15.59354   0.002869   0.000286 
  15.67821   0.003420   0.000296 
  15.76289   0.003421   0.000312 
  15.84757   0.002904   0.000349 
  15.93224   0.002765   0.000404 
  16.01692   0.002639   0.000439 
  16.10160   0.003252   0.000453 
  16.18628   0.002567   0.000463 
  16.27095   0.002939   0.000537 
  16.35563   0.002403   0.000465 
  16.44031   0.002216   0.000425 
  16.52498   0.002279   0.000385 
  16.60966   0.002849   0.000369 
  16.69434   0.002353   0.000376 
  16.77901   0.002005   0.000395 
  16.86369   0.002155   0.000430 
  16.94837   0.002661   0.000439 
  17.03304   0.003410   0.000450 
  17.11772   0.003222   0.000498 
  17.20240   0.002515   0.000479 
  17.28707   0.002247   0.000500 
  17.37175   0.001848   0.000511 
  17.45643   0.002097   0.000490 
  17.54111   0.002907   0.000465 
  17.62578   0.002470   0.000434 
  17.71046   0.002265   0.000419 
  17.79514   0.002288   0.000435 
  17.87981   0.002248   0.000470 
  17.96449   0.002563   0.000529 
  18.04917   0.002544   0.000520 
  18.13384   0.002458   0.000562 
  18.21852   0.001563   0.000592 
  18.30320   0.002918   0.000595 
  18.38787   0.002211   0.000602 
  18.47255   0.002960   0.000607 
  18.55723   0.002267   0.000590 
  18.64190   0.001812   0.000560 
  18.72658   0.001563   0.000550 
  18.81126   0.002647   0.000526 
  18.89594   0.001984   0.000528 
  18.98061   0.001577   0.000533 
  19.06529   0.002816   0.000569 
  19.14997   0.003264   0.000659 
  19.23464   0.003518   0.000747 
  19.31932   0.002433   0.000787 
  19.40400   0.002949   0.000804 
  19.48867   0.003012   0.000804 
  19.57335   0.002168   0.000821 
  19.65803   0.002132   0.000782 
  19.74270   0.002198   0.000741 
  19.82738   0.002641   0.000705 
  19.91206   0.002710   0.000707 
  19.99673   0.002485   0.000721 
  20.08141   0.001697   0.000693 
  20.16609   0.001482   0.000734 
  20.25077   0.002122   0.000768 
  20.33544   0.002595   0.000863 
  20.42012   0.002191   0.000922 
