# 2MASS              f_2MASS OSpT  OSpT_flt OGrav  IRSpT    IRSpT_flt IGrav      f_IRSpT spt_flt_assumed Jmag   e_Jmag Hmag   e_Hmag Ksmag  e_Ksmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag Ref        Nm Nrv Nir Npm Np pmRA     e_pmRA  pmDE     e_pmDE  Plx    e_Plx Dist e_Dist RV     e_RV  E_RV u_RV Ref2   l_PBII PBII  l_CBII CBII   GBII     PL    GL       PC    GC       PBI   GBI      Mm  MCat 2M SimbadName                _RA       _DE      
  00425923+1142104   ""      ""    ""       -      M9       9         beta       ""      9               14.754 0.036  14.074 0.042  13.514 0.027   13.237 0.026   12.918 0.03    12.175 ""      9.151 ""      5          "" 0   0   0   0  0.0929   0.017   -0.0758  0.0152  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     19.6  ""     53.1   "AB DOR" 0.0   NONE     64.9  "AB DOR" 83.02 "BETA PIC" AM  0    2M "2MASS J00425923+1142104" 10.74684  11.70295 
  00452143+1634446   ""      L2    12       beta   L2       12        gamma      a       12              13.059 0.018  12.059 0.034  11.37  0.019   10.768 0.023   10.393 0.019   9.735  0.04    8.424 0.261   "2; 6; 27" *  1   1   0   1  0.355    0.01    -0.04    0.01    62.5   3.7   ""   ""     3.16   0.83  ""   ""   1      ""     99.9  ""     0.1    ARGUS    99.42 ARGUS    37.0  CHA-NEAR 100.0 ARGUS    BM  1    2M "2MASS J00452143+1634446" 11.33923  16.57909 
  00464841+0715177   ""      M9    9        beta   L0       10        delta      ""      9               13.885 0.026  13.178 0.034  12.55  0.025   12.07  0.026   11.638 0.022   11.139 0.181   9.024 ""      "1; 5; 27" "" 1   0   0   0  0.098    0.022   -0.051   0.01    ""     ""    ""   ""     -2.75  0.27  ""   ""   "1; 2" ""     31.3  ""     48.8   COLUMBA  24.44 "AB DOR" 99.0  TWHYA    99.0  COLUMBA  AM  0    2M "2MASS J00464841+0715177" 11.70174  7.25493  
  00470038+6803543   ""      L7    17       gamma? L6-L8    16-18     gamma      ""      17              15.604 0.068  13.968 0.041  13.053 0.029   11.876 0.023   11.268 0.02    10.327 0.072   9.095 0.453   "34; 35"   *  0   0   0   0  0.387    0.004   -0.197   0.004   82.0   3.0   ""   ""     -20.0  1.4   ""   ""   7      ""     100.0 ""     0.1    "AB DOR" 99.95 "AB DOR" 56.0  "AB DOR" 100.0 "AB DOR" BM  1    2M "2MASS J00470038+6803543" 11.75161  68.0651  
  00550564+0134365   ""      L2    12       gamma  L2       12        gamma      a       12              16.436 0.114  15.27  0.074  14.44  0.068   13.682 0.027   13.204 0.033   11.988 ""      8.477 ""      "27; 36"   "" 1   1   0   0  0.044    0.024   -0.082   0.024   ""     ""    ""   ""     -1.21  0.38  ""   ""   "1; 2" ""     9.2   ""     48.3   "BETA PIC" 0.0   NONE     68.0  "AB DOR" 100.0 OLD      NM  0    2M "2MASS J00550564+0134365" 13.77353  1.57682  
  00584253-0651239   ""      L0    10       -      L1       11        beta       ""      10              14.311 0.023  13.444 0.028  12.904 0.032   12.562 0.025   12.248 0.027   11.692 0.411   8.739 ""      "18; 5"    *  0   0   0   0  0.1367   0.002   -0.1226  0.0018  33.8   4.0   ""   ""     ""     ""    ""   ""   5      ""     96.5  ""     0.3    "AB DOR" 52.5  "AB DOR" 14.3  COLUMBA  91.65 "BETA PIC" AM  0    2M "2MASS J00584253-0651239" 14.67728  -6.85667 
  01033203+1935361   ""      L6    16       beta   L6       16        beta       ""      16              16.288 0.079  14.897 0.055  14.149 0.058   13.178 0.024   12.696 0.027   12.234 0.325   8.29  ""      "8; 5"     *  0   0   0   0  0.293    0.0046  0.0277   0.0047  46.9   7.6   ""   ""     ""     ""    ""   ""   8      ""     51.2  ""     15.7   ARGUS    36.95 Hyades   16.0  CHA-NEAR 96.0  OLD      AM  1    2M "2MASS J01033203+1935361" 15.8835   19.59339 
  01174748-3403258   ""      L1    11       beta   L1       11        beta       a       11              15.178 0.034  14.209 0.038  13.49  0.036   13.028 0.025   12.623 0.026   11.802 0.186   9.215 ""      "7; 6; 27" *  0   2   1   0  0.084    0.015   -0.045   0.008   ""     ""    20   3      3.96   2.09  ""   :    1      ""     98.4  ""     0.0    TUC-HOR  30.63 TUC-HOR  100.0 TUC-HOR  91.0  TUC-HOR  HLM 1    2M "2MASS J01174748-3403258" 19.44789  -34.05717
  01205114-5200349   ""      ""    ""       -      L1       11        gamma      ""      11              15.642 0.071  14.66  0.072  13.752 0.053   13.23  0.026   12.778 0.026   11.847 0.168   8.949 ""      5          *  0   0   0   0  0.0921   0.0058  -0.0404  0.0102  ""     ""    24   4      7.22   2.5   ""   :    "1; 10" >      99.9  <      0.1    TUC-HOR  64.54 TUC-HOR  100.0 TUC-HOR  95.18 TUC-HOR  HLM 0    2M "2MASS J01205114-5200349" 20.21312  -52.0097 
  01231125-6921379   ""      M7.5  7.5      gamma  ""       ""        -          ""      7.5             12.32  0.019  11.711 0.024  11.323 0.024   11.06  0.023   10.818 0.021   10.595 0.062   9.426 ""      4          *  0   0   0   0  0.08278  0.00174 -0.02646 0.00139 21.6   3.3   ""   ""     10.9   3.0   ""   ""   "4; 9" ""     100.0 ""     0.0    TUC-HOR  99.97 TUC-HOR  100.0 TUCHOR   100.0 TUCHOR   BM  1    2M "2MASS J01231125-6921379" 20.79698  -69.36056
