# name                         ra_j2000_formula dec_j2000_formula gucds_shortname ref_discovery                    multiplesystem_unresolved_in_this_table multiplesystem_resolved_in_this_table     youth_evidence      age_category                 designation_2mass        ra_epoch_2mass dec_epoch_2mass epoch_2mass J_2MASS Jerr_2MASS ref_J_2MASS H_2MASS Herr_2MASS ref_H_2MASS Ks_2MASS Kserr_2MASS ref_Ks_2MASS  Cflg_2MASS designation_MKO             Y_MKO   Yerr_MKO ref_Y_MKO      J_MKO   Jerr_MKO ref_J_MKO     H_MKO   Herr_MKO ref_H_MKO      K_MKO  Kerr_MKO ref_K_MKO     designation_WISE           ra_j2000_WISE dec_j2000_WISE W1     W1err W2     W2err W3     W3err W4     W4err ch1    ch1err ch2    ch2err ref_Spitzer    spt_opt       ref_spt_opt spt_ir             ref_spt_ir     spt_opt_flt spt_ir_flt spt_adop_flt plx_formula plxerr_formula ref_plx_formula banyan_sigma_max_hypo_young banyan_sigma_max_prob_young
  "WISEA J000430.66-260402.3"  1.1278           -26.0666          J0004-2604      Grec19                           N                                       N                                         N                   subd?                        "2MASS J00043065-2603596" 1.127731       -26.066563      1998-11-07  16.487  0.133      Cutr03      15.587  ""         Cutr03      15.523   ""          Cutr03        000        ""                          17.282  0.057    Best21         16.18   0.02     Best20        15.833  0.056    Best21         15.574 0.055    Best21        "CWISE J000430.66-260403.6" 1.1276992     -26.0665411    15.166 0.019 14.148 0.017 12.519 ""    9.072  ""    ""     ""     ""     ""     ""             ""            ""          "T2 (blue)"        Grec19         ""          92.0       92.0         33.0        5.0            Best20          UCL                         0.0                        
  "LHS 102BC"                  1.1453           -40.7351          J0004-4044B     Eros99c                          "Y: Goli04b"                            N                                         N                   "LHS 102BC"                  "2MASS J00043484-4044058" 1.14519        -40.73497       1999-08-02  13.109  0.024      Cutr03      12.055  0.026      Cutr03      11.396   0.026       Cutr03        000        ""                          14.32   0.1      Hewe06         13.06   0.03     Legg10a       12.14   0.03     Legg10a        11.36  0.03     Legg10a       "WISEA J000435.49-404422.3" 1.1479144     -40.7395327    10.736 0.022 10.463 0.02  9.803  0.048 8.652  ""    10.36  0.01   10.47  0.01   Patt06         L5            Kirk01a     L4.5               Knap04         85.0        84.5       85.0         82.35       0.26           Gaia23          TAU                         0.0                        
  "2MASS J00044144-2058298"    1.1728           -20.975           J0004-2058      Kend07a                          N                                       N                                         N                   Field                        "2MASS J00044144-2058298" 1.172674       -20.974955      1999-07-20  12.404  0.022      Cutr03      11.834  0.019      Cutr03      11.396   0.023       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000442.41-205828.3" 1.1725192     -20.9750251    11.161 0.014 10.852 0.01  10.273 0.067 8.926  ""    ""     ""     ""     ""     ""             M8            Kend07b     ""                 ""             78.0        ""         78.0         66.48       0.14           Gaia23          CARN                        0.0                        
  "SIMP J00044599-2007410"     1.1917           -20.1281          J0004-2007      Robe16                           N                                       N                                         N                   Field                        "2MASS J00044599-2007410" 1.19163        -20.128057      1999-07-20  16.524  0.138      Cutr03      16.244  0.238      Cutr03      15.749   0.224       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000446.23-200741.8" 1.1916576     -20.1281816    15.515 0.022 15.208 0.036 12.014 ""    9.073  ""    ""     ""     ""     ""     ""             ""            ""          "L0:: pec"         Robe16         ""          80.0       80.0         ""          ""             ""              ARG                         0.0                        
  "2MASS J00045753-1709369"    1.2398           -17.1603          J0004-1709      Crif05                           N                                       N                                         N                   FLD-G                        "2MASS J00045753-1709369" 1.23973        -17.160261      1998-07-20  10.997  0.022      Cutr03      10.455  0.021      Cutr03      10.084   0.021       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000457.70-170937.0" 1.2397668     -17.1602478    9.91   0.013 9.692  0.008 9.486  0.041 8.196  ""    ""     ""     ""     ""     ""             M5.5          Crif05      "M5.6 FLD-G"       Gagn15c        75.5        75.6       75.5         58.62       0.05           Gaia23          UCL                         0.0                        
  "WISEA J000458.47-133655.1"  1.2422           -13.6155          ""              Schn16a;Grec19                   N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000458.59-133655.2" 1.2424242     -13.6152748    15.116 0.018 14.472 0.02  12.118 ""    8.94   ""    ""     ""     ""     ""     ""             ""            ""          T2                 Grec19         ""          92.0       92.0         ""          ""             ""              CARN                        0.09                       
  "ULAS J000509.42+101407.7"   1.2895           10.2355           ""              Zhan19b                          N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         "ULAS J000509.42+101407.7"  19.347  0.083    Lawr12         18.146  0.053    Lawr12        17.717  0.052    Lawr12         17.788 0.113    Lawr12        "CWISE J000509.41+101407.8" 1.2895313     10.2355115     17.168 0.056 16.253 0.081 12.342 ""    8.771  ""    ""     ""     ""     ""     ""             ""            ""          T3                 Zhan19b        ""          93.0       93.0         ""          ""             ""              ARG                         0.011                      
  "WISE J000517.48+373720.5"   1.3191           37.6232           J0005+3737      Mace13a                          N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          17.4266  0.1158      McMa21        ""         "VHS J094925.92-102600.0"   18.48   0.02     Legg15         17.59   0.02     Legg15        17.98   0.02     Legg15         17.99  0.02     Legg15        "CWISE J000518.01+373718.8" 1.3191122     37.6231641     16.513 0.04  13.297 0.013 11.785 0.236 9.122  ""    15.43  0.02   13.28  0.02   Mace13a        ""            ""          T9                 Mace13a        ""          99.0       99.0         126.9       2.1            Kirk21          ARG                         0.0                        
  "WISEA J000536.63-263311.8"  1.4024           -26.5532          ""              Schn16a;Grec19                   N                                       N                                         N                   Field                        "2MASS J00053630-2633123" 1.401253       -26.553427      1998-11-07  17.171  0.225      Cutr03      15.849  0.165      Cutr03      15.191   0.154       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J000536.78-263311.7" 1.4015318     -26.5533989    14.877 0.016 14.38  0.019 12.703 ""    8.642  ""    ""     ""     ""     ""     ""             ""            ""          "T0 pec"           Grec19         ""          90.0       90.0         ""          ""             ""              CARN                        0.021                      
  "WISEA J000538.83+020951.2"  1.4111           2.1651            ""              Kirk16                           N                                       N                                         N                   Field                        "2MASS J00053866+0209538" 1.411085       2.164968        2000-08-08  11.992  0.029      Cutr03      11.394  0.024      Cutr03      10.964   0.021       Cutr03        000        "ULAS J000538.81+020951.4"  12.572  0.001    Lawr12         11.923  0.001    Lawr12        ""      ""       ""             ""     ""       ""            "CWISE J000538.91+020949.8" 1.4110599     2.1650294      10.767 0.012 10.568 0.008 10.34  0.077 8.683  0.529 ""     ""     ""     ""     ""             M6            Kirk16      ""                 ""             76.0        ""         76.0         34.12       0.07           Gaia23          TAU                         0.0                        
