# name                         ra_j2000_formula dec_j2000_formula gucds_shortname ref_discovery                    multiplesystem_unresolved_in_this_table multiplesystem_resolved_in_this_table     youth_evidence      age_category                 designation_2mass        ra_epoch_2mass dec_epoch_2mass epoch_2mass J_2MASS Jerr_2MASS ref_J_2MASS H_2MASS Herr_2MASS ref_H_2MASS Ks_2MASS Kserr_2MASS ref_Ks_2MASS  Cflg_2MASS designation_MKO             Y_MKO   Yerr_MKO ref_Y_MKO      J_MKO   Jerr_MKO ref_J_MKO     H_MKO   Herr_MKO ref_H_MKO      K_MKO  Kerr_MKO ref_K_MKO     designation_WISE           ra_j2000_WISE dec_j2000_WISE W1     W1err W2     W2err W3     W3err W4     W4err ch1    ch1err ch2    ch2err ref_Spitzer    spt_opt       ref_spt_opt spt_ir             ref_spt_ir     spt_opt_flt spt_ir_flt spt_adop_flt plx_formula plxerr_formula ref_plx_formula banyan_sigma_max_hypo_young banyan_sigma_max_prob_young
  "2MASS J04203904+2355502"    65.1626          23.9306           J0420+2355      Luhm06b                          N                                       N                                         YMG;lowg            ABDMG                        "2MASS J04203904+2355502" 65.16268       23.930635       1997-11-29  14.937  0.03       Cutr03      14.085  0.03       Cutr03      13.499   0.029       Cutr03        000        "UGCS J042039.05+235549.0"  15.991  0.05     Schn23b;UCS_24 14.847  0.005    Schn23b       14.13   0.03     Best21         13.476 0.003    WFAU19        "CWISE J042039.08+235547.5" 65.1626123    23.9305944     13.084 0.013 12.812 0.011 12.255 0.498 9.032  ""    ""     ""     ""     ""     ""             L1            Luhm06b     L1                 Luhm06b        81.0        81.0       81.0         25.2        0.6            Gaia23          ABDMG                       0.983                      
  "SIMP J04210053-1950245"     65.2522          -19.8402          J0421-1950      Robe16                           N                                       N                                         N                   Field                        "2MASS J04210053-1950245" 65.252215      -19.840143      1998-11-23  15.858  0.059      Cutr03      15.352  0.091      Cutr03      14.855   0.119       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042100.61-195027.0" 65.2522132    -19.8401495    14.55  0.015 14.274 0.017 12.732 ""    8.867  ""    ""     ""     ""     ""     ""             ""            ""          "M9: pec (blue)"   Robe16         ""          79.0       79.0         11.0        0.7            Gaia23          ABDMG                       0.0                        
  "SIMP J04210695-1133431"     65.2791          -11.562           J0421-1133      Robe16                           N                                       N                                         N                   Field                        "2MASS J04210695-1133431" 65.278978      -11.561991      1998-10-16  16.476  0.103      Cutr03      15.265  0.074      Cutr03      14.697   0.098       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042107.23-113343.1" 65.27907      -11.5620139    14.118 0.014 13.878 0.014 12.132 ""    8.704  ""    ""     ""     ""     ""     ""             ""            ""          "L3: pec (red)"    Robe16         ""          83.0       83.0         ""          ""             ""              CARN                        0.0                        
  "2MASS J04210718-6306022"    65.28            -63.1006          J0421-6306      Cruz07                           N                                       N                                         YMG?;lowg           ARG?                         "2MASS J04210718-6306022" 65.279937      -63.100624      1998-10-28  15.565  0.049      Cutr03      14.284  0.043      Cutr03      13.448   0.043       Cutr03        000        ""                          ""      ""       ""             15.46   0.01     McMa13        ""      ""       ""             ""     ""       ""            "CWISE J042107.54-630558.6" 65.2800233    -63.1005751    12.548 0.012 12.159 0.008 11.518 0.107 9.106  ""    12.24  0.01   12.28  0.02   Kirk21         "L5 beta"     Cruz09      "L4.2 INT-G"       Fahe16         85.0        84.2       85.0         50.0        3.0            Kirk21          ARG                         0.898                      
  "2MASS J04214620-0025072"    65.4426          -0.4187           J0421-0025      Kell17                           N                                       N                                         N                   Field                        "2MASS J04214620-0025072" 65.442524      -0.41867        1998-09-21  16.34   0.083      Cutr03      15.492  0.091      Cutr03      14.9607  0.0111      McMa21        000        "VHS J042146.17-002507.3"   17.5688 0.019    McMa21         16.3111 0.0088   McMa21        15.5556 0.0101   McMa21         ""     ""       ""            "CWISE J042146.16-002507.5" 65.4425677    -0.4185985     14.453 0.016 14.118 0.017 12.508 ""    8.68   ""    ""     ""     ""     ""     ""             ""            ""          L2                 Kell17         ""          82.0       82.0         ""          ""             ""              TAU                         0.0                        
  "LP 415-20"                  65.4566          19.4857           J0421+1929      Bryj92;Bryj94                    "Y: Sieg03"                             N                                         N                   HYA                          "2MASS J04214955+1929086" 65.456494      19.485744       1997-10-31  12.711  0.021      Cutr03      12.06   0.022      Cutr03      11.668   0.02        Cutr03        000        "UGCS J042149.62+192908.3"  ""      ""       ""             ""      ""       ""            ""      ""       ""             11.643 0.001    WFAU19        "WISEA J042149.67+192908.2" 65.4569761    19.4856143     11.427 0.023 11.235 0.022 10.65  0.102 7.333  0.161 ""     ""     ""     ""     ""             M7.5          Gizi00c     ""                 ""             77.5        ""         77.5         23.6        0.3            Gaia23          HYA                         0.998                      
  Hya06                        65.5214          13.9798           J0422+1358      Lodi14b                          N                                       N                                         N                   HYA?                         "2MASS J04220512+1358474" 65.521338      13.979835       1997-10-06  15.503  0.057      Cutr03      14.809  0.076      Cutr03      14.251   0.076       Cutr03        000        "UGCS J042205.16+135847.2"  ""      ""       ""             ""      ""       ""            ""      ""       ""             14.207 0.006    Lawr12        "CWISE J042205.22+135847.1" 65.52137      13.9798849     13.921 0.015 13.663 0.014 11.808 ""    8.889  ""    ""     ""     ""     ""     ""             M9.5          Lodi14b     ""                 ""             79.5        ""         79.5         18.2        0.7            Gaia23          HYA                         0.846                      
  "2MASS J04221413+1530525"    65.5589          15.5146           J0422+1530      Dobb02a                          N                                       N                                         lowg                gamma                        "2MASS J04221413+1530525" 65.558882      15.514589       1997-10-06  12.757  0.021      Cutr03      11.767  0.02       Cutr03      11.276   0.02        Cutr03        000        "UGCS J042214.12+153052.5"  13.64   0.054    Best21         12.65   0.03     Dobb02a       11.75   0.05     Dobb02a        11.287 0.001    WFAU19        "CWISE J042214.12+153052.5" 65.5588799    15.5146255     11.045 0.013 10.718 0.009 10.536 0.097 8.764  ""    ""     ""     ""     ""     ""             "M6: gamma"   Fahe12      "M6: VL-G"         Alle13a        76.0        76.0       76.0         3.53        0.12           Gaia23          OCT                         0.0                        
  "SDSS J042230.66+072342.9"   65.6274          7.3958            J0422+0723      Schm10b                          N                                       N                                         N                   Field                        "2MASS J04223057+0723448" 65.627397      7.39578         1999-12-13  15.771  0.07       Cutr03      14.915  0.061      Cutr03      14.446   0.061       Cutr03        000        "UGCS J042230.65+072343.1"  ""      ""       ""             15.647  0.009    Schn23b       ""      ""       ""             14.374 0.007    WFAU19        "CWISE J042230.77+072340.5" 65.6273895    7.3958039      14.074 0.014 13.882 0.014 12.068 ""    8.962  ""    ""     ""     ""     ""     ""             L1            Schm10b     L1                 Robe16         81.0        81.0       81.0         19.7        0.9            Gaia23          ABDMG                       0.0                        
  "WISEA J042231.34+081012.7"  65.6308          8.1704            J0422+0810      Schn17                           N                                       N                                         N                   Field                        "2MASS J04223142+0810138" 65.630956      8.170516        1999-12-13  17.272  0.226      Cutr03      16.043  ""         Cutr03      15.24    0.135       Cutr03        000        ""                          ""      ""       ""             17.231  0.024    Schn23b       ""      ""       ""             15.905 0.033    Schn23b       "CWISE J042231.33+081012.5" 65.6307983    8.1704407      15.581 0.023 15.293 0.039 12.177 ""    8.852  ""    ""     ""     ""     ""     ""             ""            ""          L1                 Schn17         ""          81.0       81.0         ""          ""             ""              TAU                         0.0                        
  "SIMP J04223302+1033189"     65.6376          10.5552           J0422+1033      Robe16                           N                                       N                                         N                   Field                        "2MASS J04223302+1033189" 65.637589      10.555265       1999-12-13  15.653  0.06       Cutr03      15.115  0.09       Cutr03      14.654   0.068       Cutr03        000        "UGCS J042233.05+103317.9"  ""      ""       ""             ""      ""       ""            ""      ""       ""             14.666 0.008    Lawr12        "CWISE J042233.11+103316.3" 65.6376094    10.5552422     14.48  0.016 14.338 0.019 12.46  ""    8.498  ""    ""     ""     ""     ""     ""             ""            ""          "M9.5: pec"        Robe16         ""          79.5       79.5         10.1        0.5            Gaia23          ABDMG                       0.0                        
  "WISEA J042236.95-044203.5"  65.6513          -4.6999           ""              Meis20b                          N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          18.89    ""          Meis20b       ""         ""                          19.97   ""       Meis20b        19.43   0.23     Meis20b       ""      ""       ""             ""     ""       ""            "CWISE J042237.38-044207.0" 65.6512522    -4.6999393     18.561 0.196 16.016 0.066 12.545 ""    9.025  ""    17.69  0.05   15.94  0.02   Meis20b        ""            ""          T8.0               Meis20b        ""          98.0       98.0         ""          ""             ""              ABDMG                       0.0                        
  "SIMP J04232040+1212118"     65.8351          12.2032           J0423+1212      Robe16                           N                                       N                                         N                   Field                        "2MASS J04232040+1212118" 65.835016      12.2033         1997-10-06  15.687  0.066      Cutr03      15.219  0.09       Cutr03      14.975   0.147       Cutr03        000        "UGCS J042320.41+121211.4"  ""      ""       ""             15.83   0.03     Robe16        15.15   0.03     Robe16         14.686 0.009    Lawr12        "CWISE J042320.43+121210.9" 65.8350926    12.203268      14.448 0.016 14.166 0.017 12.372 ""    8.752  ""    ""     ""     ""     ""     ""             ""            ""          "M9.5: pec"        Robe16         ""          79.5       79.5         11.1        1.2            Gaia23          BPMG                        0.0                        
  "2MASS J04232191-0803051"    65.8413          -8.0514           ""              Kell17                           N                                       N                                         N                   Field                        "2MASS J04232191-0803051" 65.84133       -8.051426       1998-10-16  16.274  0.089      Cutr03      15.404  0.091      Cutr03      14.8233  0.0141      McMa21        000        "VHS J042321.91-080305.1"   16.9612 0.013    McMa21         16.0934 0.0097   McMa21        ""      ""       ""             ""     ""       ""            "CWISE J042321.91-080305.0" 65.8412992    -8.0513127     14.17  0.015 13.55  0.012 12.623 ""    9.018  ""    ""     ""     ""     ""     ""             ""            ""          L0                 Kell17         ""          80.0       80.0         4.2         1.9            Gaia23          TAU                         0.0                        
  "FU Tau B"                   65.8989          25.0499           ""              Luhm09a                          N                                       N                                         SFR;lowg            Taurus                       "2MASS J04233573+2502596" 65.898908      25.049898       1997-11-29  15.037  0.115      Cutr03      13.84   0.088      Todo14      13.329   0.098       Cutr03        ccc        "UGCS J042335.74+250259.4"  16.328  0.009    WFAU19         15.107  0.006    WFAU19        ""      ""       ""             13.351 0.003    Lawr12        ""                         ""            ""             ""     ""    ""     ""    ""     ""    ""     ""    12.54  0.1    11.92  0.1    Luhm09a        M9.25         Luhm09a     ""                 ""             79.25       ""         79.25        7.5         1.1            Gaia23          TAU                         0.975                      
  "2MASS J04234652+0843211"    65.9438          8.7225            J0423+0843      Kell17                           N                                       N                                         N                   Field                        "2MASS J04234652+0843211" 65.94385       8.722539        1999-12-13  16.179  0.08       Cutr03      15.244  0.095      Cutr03      14.468   0.054       Cutr03        000        "UGCS J042346.52+084320.5"  ""      ""       ""             16.117  0.01     Schn23b       ""      ""       ""             14.488 0.01     Schn23b       "CWISE J042346.56+084319.4" 65.9437561    8.7225285      13.82  0.014 13.623 0.014 12.394 0.516 8.911  ""    ""     ""     ""     ""     ""             ""            ""          L2                 Kell17         ""          82.0       82.0         ""          ""             ""              ABDMG                       0.667                      
  "SDSSp J042348.57-041403.5"  65.9524          -4.2342           J0423-0414B     Geba02                           "Y: Burg05c"                            N                                         N                   "SDSSp J042348.57-041403.5"  "2MASS J04234858-0414035" 65.952447      -4.234311       1998-09-25  14.465  0.027      Cutr03      13.463  0.034      Cutr03      12.929   0.034       Cutr03        000        ""                          15.41   0.03     Legg02a        14.3    0.03     Legg02a       13.51   0.03     Legg02a        12.96  0.03     Legg02a       "CWISE J042348.22-041402.0" 65.9522681    -4.234295      12.175 0.013 11.609 0.009 10.558 0.089 8.409  ""    11.73  0.02   11.58  0.02   Patt06         L7.5          Cruz03      T0                 Burg06b        87.5        90.0       87.5         70.2        0.9            Gaia23          TAU                         0.0                        
  "2MASS J04235322-0006587"    65.9717          -0.1163           J0423-0006      Cruz03                           N                                       N                                         N                   Field                        "2MASS J04235322-0006587" 65.971778      -0.11631        1998-09-25  13.648  0.024      Cutr03      12.956  0.032      Cutr03      12.475   0.03        Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042353.12-000659.7" 65.9717555    -0.1163399     12.167 0.012 11.886 0.009 11.343 0.162 8.675  ""    ""     ""     ""     ""     ""             M8.5          Cruz03      ""                 ""             78.5        ""         78.5         36.15       0.21           Gaia23          TAU                         0.0                        
  "WISE J042417.94+072744.1"   66.0737          7.4648            J0424+0727      Mace13a                          N                                       N                                         N                   Field                        ""                       ""             ""              ""          18.71   0.16       Mace13a     18.76   0.22       Mace13a     18.87    0.4         Mace13a       ""         ""                          ""      ""       ""             18.32   0.02     Best20        ""      ""       ""             ""     ""       ""            "CWISE J042418.19+072738.4" 66.073719     7.4648263      17.979 0.123 15.335 0.04  12.476 ""    8.548  ""    16.74  0.04   15.21  0.01   Grif12b        ""            ""          T7.5               Mace13a        ""          97.5       97.5         43.7        1.5            Best20          LCC                         0.0                        
  "2MASS J04241856+0637448"    66.0774          6.6293            ""              Pere18                           N                                       N                                         N                   Field                        "2MASS J04241856+0637448" 66.07736       6.629125        1999-12-13  17.147  0.223      Cutr03      15.831  0.158      Cutr03      15.295   0.158       Cutr03        c00        "UGCS J042418.64+063745.4"  ""      ""       ""             17.223  0.022    Schn23b       ""      ""       ""             15.434 0.019    Schn23b       "CWISE J042418.72+063745.5" 66.0774155    6.6294374      14.74  0.017 14.355 0.019 11.897 ""    8.841  ""    ""     ""     ""     ""     ""             ""            ""          L4                 Pere18         ""          84.0       84.0         ""          ""             ""              HYA                         0.073                      
  "WISEA J042449.21-595905.6"  66.2038          -59.9853          J0424-5959      Luhm14c                          N                                       N                                         N                   Field                        "2MASS J04244882-5959075" 66.203418      -59.985435      1998-10-28  17.025  0.167      Cutr03      15.904  0.202      Cutr03      15.461   0.202       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042449.34-595904.9" 66.2037658    -59.9853253    14.525 0.012 13.984 0.011 12.971 ""    9.464  ""    ""     ""     ""     ""     ""             ""            ""          T0                 Luhm14c        ""          90.0       90.0         ""          ""             ""              COL                         0.0                        
  "CWISEP J042455.68+000221.4" 66.2314          0.0397            J0424+0002      Kirk21                           N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         ""                          ""      ""       ""             19.67   0.07     Kirk21        ""      ""       ""             ""     ""       ""            "CWISE J042455.70+000221.3" 66.2313937    0.0396815      19.666 0.53  15.528 0.044 12.665 ""    8.992  ""    17.64  0.09   15.43  0.02   Meis20a        ""            ""          T9:                Kirk21         ""          99.0       99.0         37.0        12.0           Kirk21          ARG                         0.146                      
  "2MASS J04250679-4255085"    66.2783          -42.9191          J0425-4255      Schn17                           N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          14.4618  0.0112      McMa13        ""         "VHS J042506.61-425510.0"   ""      ""       ""             16.27   0.011    McMa13        ""      ""       ""             ""     ""       ""            "CWISE J042506.60-425510.1" 66.2783478    -42.9191007    13.505 0.013 12.868 0.01  11.537 0.148 9.244  ""    ""     ""     ""     ""     ""             ""            ""          L8                 Schn17         ""          88.0       88.0         ""          ""             ""              ABDMG                       0.0                        
  "SIMP J04253602-1900022"     66.4001          -19.0007          ""              Robe16                           N                                       N                                         N                   Field                        "2MASS J04253602-1900022" 66.400101      -19.000622      1998-11-23  16.257  0.066      Cutr03      15.405  0.072      Cutr03      15.209   0.153       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042535.94-190003.7" 66.4000752    -19.0007237    14.895 0.017 14.665 0.022 11.971 ""    9.251  ""    ""     ""     ""     ""     ""             ""            ""          M6.5:              Robe16         ""          76.5       76.5         ""          ""             ""              ABDMG                       0.0                        
  "LHS 191"                    66.5831          3.61              J0426+0336      Kirk91                           N                                       N                                         N                   Field                        "2MASS J04261992+0336359" 66.583002      3.609974        2000-01-26  11.623  0.024      Cutr03      11.072  0.023      Cutr03      10.693   0.023       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042619.80+033619.1" 66.5830495    3.6100754      10.507 0.01  10.268 0.007 9.94   0.054 9.007  ""    ""     ""     ""     ""     ""             M6.5          Kirk91      ""                 ""             76.5        ""         76.5         62.51       0.07           Gaia23          TAU                         0.0                        
  "2MASS J04270723+0859027"    66.7802          8.9841            J0427+0859      Reid08b                          N                                       N                                         N                   Field                        "2MASS J04270723+0859027" 66.780158      8.984085        1999-12-13  12.92   0.026      Cutr03      12.188  0.028      Cutr03      11.727   0.023       Cutr03        000        "UGCS J042707.17+085902.7"  13.769  0.056    Best21         12.886  0.026    Best21        12.248  0.028    Best21         11.726 0.001    Lawr12        "CWISE J042707.10+085902.7" 66.7801822    8.984098       11.449 0.012 11.204 0.008 10.845 0.113 8.859  ""    ""     ""     ""     ""     ""             M8            Reid08b     ""                 ""             78.0        ""         78.0         46.53       0.14           Gaia23          TAU                         0.0                        
  "DENIS-P J04272708-1127143"  66.8629          -11.454           J0427-1127      Mart10                           N                                       N                                         N                   Field                        "2MASS J04272708-1127143" 66.862871      -11.453993      1998-10-16  13.739  0.027      Cutr03      13.077  0.029      Cutr03      12.674   0.029       Cutr03        000        ""                          14.49   0.057    Best21         13.706  0.027    Best21        13.128  0.029    Best21         12.654 0.029    Best21        "CWISE J042727.08-112718.3" 66.8628581    -11.4540301    12.439 0.013 12.221 0.01  11.833 0.259 8.551  ""    ""     ""     ""     ""     ""             M7            Mart10      M7.9               Bard14         77.0        77.9       77.0         23.65       0.14           Gaia23          TAU                         0.0                        
  "CWISE J042731.38+074344.9"  66.8803          7.7294            ""              Schn22                           N                                       N                                         N                   HYA?                         "2MASS J04273126+0743453" 66.880274      7.729261        1999-12-13  16.907  ""         Cutr03      15.802  ""         Cutr03      15.422   0.149       Cutr03        00c        "UGCS J042731.32+074345.5"  ""      ""       ""             17.188  0.025    Schn23b       ""      ""       ""             15.302 0.019    Schn23b       "CWISE J042731.38+074344.9" 66.8803177    7.7291713      14.242 0.016 13.875 0.015 ""     ""    ""     ""    ""     ""     ""     ""     ""             ""            ""          L7                 Schn22         ""          87.0       87.0         ""          ""             ""              HYA                         0.932                      
  "2MASSI J0428510-225323"     67.2124          -22.8896          J0428-2253      Kend03a                          N                                       N                                         N                   Field                        "2MASS J04285096-2253227" 67.212367      -22.889641      1998-11-23  13.507  0.023      Cutr03      12.668  0.026      Cutr03      12.118   0.026       Cutr03        000        ""                          14.598  0.055    Best21         13.472  0.023    Best21        12.735  0.026    Best21         12.105 0.026    Best21        "CWISE J042851.10-225320.1" 67.2123805    -22.8895958    11.675 0.011 11.482 0.009 10.957 0.132 8.639  ""    ""     ""     ""     ""     ""             L0.5          Kend03a     M9.9               Bard14         80.5        79.9       80.5         39.4        0.3            Gaia23          ARG                         0.0                        
  "LP 475-855"                 67.262           13.6329           ""              Gizi00c                          "Y: Sieg03"                             N                                         N                   Field                        "2MASS J04290287+1337586" 67.26196       13.632962       1999-11-01  12.653  0.029      Cutr03      11.943  0.029      Cutr03      11.624   0.022       Cutr03        000        "UGCS J042902.91+133758.5"  ""      ""       ""             ""      ""       ""            ""      ""       ""             11.597 0.001    Lawr12        "CWISE J042902.97+133758.3" 67.2619354    13.6329943     11.352 0.013 11.14  0.008 11.248 0.18  8.902  ""    ""     ""     ""     ""     ""             M7            Gizi00c     M7                 Reid01b        77.0        77.0       77.0         ""          ""             ""              HYA                         0.492                      
  "2MASSI J0429184-312356"     67.327           -31.3991          J0429-3123      Cruz03                           "Y: Sieg05"                             N                                         N                   Field                        "2MASS J04291842-3123568" 67.326773      -31.399113      1998-12-21  10.874  0.024      Cutr03      10.211  0.022      Cutr03      9.77     0.022       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042918.53-312355.3" 67.3268054    -31.3991061    9.545  0.013 9.348  0.009 9.067  0.028 9.184  0.503 ""     ""     ""     ""     ""             M7.5          Cruz03      ""                 ""             77.5        ""         77.5         58.79       0.14           Gaia23          BPMG                        0.0                        
  "[MDM2001] CFHT-BD-Tau 18"   67.3402          27.0238           J0429+2701      Guie06                           "Y: Kono07"                             N                                         SFR                 Taurus?                      "2MASS J04292165+2701259" 67.340221      27.023874       1997-11-30  10.801  0.022      Cutr03      9.496   0.022      Cutr03      8.725    0.017       Cutr03        000        ""                          12.057  0.001    WFAU19         10.957  0.001    WFAU19        ""      ""       ""             9.328  0.001    WFAU19        "CWISE J042921.65+270125.6" 67.340226     27.0238594     8.304  0.012 7.642  0.009 5.798  0.015 3.456  0.025 ""     ""     ""     ""     ""             M6            Guie06      M5.9               Zhan18a        76.0        75.9       76.0         7.4         1.1            Schl14b         TAU                         0.996                      
  CFHT-Hy-21                   67.3449          15.5917           J0429+1535      Bouv08a                          N                                       N                                         N                   HYA?                         ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         "UGCS J042922.82+153529.9"  ""      ""       ""             18.343  0.083    Schn23b       ""      ""       ""             16.555 0.037    WFAU19        "CWISE J042922.88+153529.4" 67.344867     15.5916934     15.343 0.021 14.921 0.03  11.691 ""    8.269  ""    ""     ""     ""     ""     ""             ""            ""          T1                 Bouv08a        ""          91.0       91.0         ""          ""             ""              HYA                         0.944                      
  "SIMP J04292691+0607368"     67.3622          6.1269            J0429+0607      Robe16                           N                                       N                                         N                   Field                        "2MASS J04292691+0607368" 67.362152      6.126893        1999-12-12  15.921  0.062      Cutr03      15.471  0.103      Cutr03      15.03    0.091       Cutr03        000        ""                          ""      ""       ""             15.899  0.009    Schn23b       15.51   0.06     Robe16         14.887 0.012    Schn23b       "CWISE J042927.02+060733.4" 67.3620681    6.1268782      14.611 0.016 14.353 0.018 12.537 ""    8.458  ""    ""     ""     ""     ""     ""             ""            ""          "L0: pec (blue)"   Robe16         ""          80.0       80.0         13.7        0.8            Gaia23          ABDMG                       0.0                        
  "DH Tau B"                   67.4236          26.549            ""              Itoh05                           N                                       N                                         SFR;lowg            Taurus!                      ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          14.173   0.032       Gins14b       ""         ""                          ""      ""       ""             15.71   0.05     Itoh05        14.96   0.04     Itoh05         14.19  0.02     Itoh05        ""                         ""            ""             ""     ""    ""     ""    ""     ""    ""     ""    13.32  0.61   12.51  0.45   Mart22         ""            ""          M9.25              Bonn14b        ""          79.25      79.25        7.494       0.026          Gaia23          TAU                         0.998                      
  "WISEA J042949.41-783705.6"  67.4512          -78.6195          J0429-7837      Luhm14c                          N                                       N                                         N                   Field                        "2MASS J04294849-7837100" 67.452081      -78.619469      1999-12-02  16.379  0.131      Cutr03      15.433  0.132      Cutr03      14.773   0.132       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J042950.14-783702.4" 67.45123      -78.6194894    14.236 0.02  13.99  0.024 12.515 ""    9.5    ""    ""     ""     ""     ""     ""             ""            ""          L3::               Luhm14c        ""          83.0       83.0         ""          ""             ""              CARN                        0.0                        
  "CWISE J043018.70+105857.1"  67.5775          10.9824           ""              Schn22                           N                                       N                                         N                   HYA?                         ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         ""                          ""      ""       ""             17.451  0.027    Schn23b       ""      ""       ""             17.313 0.115    Schn23b       "CWISE J043018.70+105857.1" 67.5775375    10.9823694     16.855 0.05  15.828 0.062 12.457 ""    9.067  ""    ""     ""     ""     ""     ""             ""            ""          T3                 Schn22         ""          93.0       93.0         ""          ""             ""              HYA                         0.967                      
  "SIMP J04302219+1035438"     67.5924          10.5954           ""              Robe16                           N                                       N                                         N                   Field                        "2MASS J04302219+1035438" 67.592484      10.595512       1999-12-12  16.881  0.171      Cutr03      15.99   0.184      Cutr03      15.598   0.156       Cutr03        000        "UGCS J043022.14+103542.6"  ""      ""       ""             17.31   0.08     Robe16        16.75   0.12     Robe16         16.049 0.027    Lawr12        "CWISE J043022.09+103540.7" 67.5924381    10.5955528     15.818 0.025 15.688 0.053 12.524 ""    9.033  ""    ""     ""     ""     ""     ""             ""            ""          "M9:: pec (blue)"  Robe16         ""          79.0       79.0         ""          ""             ""              TAU                         0.0                        
  CFHT-Hy-20                   67.6613          13.1658           J0430+1309      Bouv08a                          N                                       N                                         N                   HYA                          ""                       ""             ""              ""          17.18   0.05       Liu_16      16.44   0.05       Liu_16      16.02    0.05        Liu_16        ""         "UGCS J043038.77+130956.9"  17.959  0.053    Schn23b;UCS_24 16.87   0.017    Schn23b       16.51   0.05     Bouv08a        16.199 0.037    Schn23b       "CWISE J043038.87+130956.7" 67.6613221    13.1658233     15.613 0.023 14.811 0.026 11.859 ""    8.51   ""    ""     ""     ""     ""     ""             ""            ""          T2.5               Liu_16         ""          92.5       92.5         30.8        1.5            Liu_16          HYA                         0.987                      
  "2MASS J04305157-0849007"    67.7149          -8.8169           J0430-0849      Cruz03                           N                                       N                                         N                   "2MASS J04305157-0849007"    "2MASS J04305157-0849007" 67.714912      -8.816876       1998-10-16  12.897  0.022      Cutr03      12.204  0.022      Cutr03      11.776   0.023       Cutr03        000        ""                          13.739  0.055    Best21         12.866  0.022    Best21        12.262  0.022    Best21         11.752 0.023    Best21        "CWISE J043051.57-084903.3" 67.7148898    -8.8169264     11.499 0.012 11.257 0.009 10.745 0.105 9.099  ""    ""     ""     ""     ""     ""             M8            Cruz03      ""                 ""             78.0        ""         78.0         31.95       0.24           Gaia23          ABDMG                       0.0                        
  "WISE J043052.92+463331.6"   67.717           46.5576           J0430+4633      Mace13a                          N                                       N                                         N                   Field                        ""                       ""             ""              ""          ""      ""         ""          ""      ""         ""          ""       ""          ""            ""         ""                          ""      ""       ""             19.06   0.02     Best20        19.25   0.13     Mace13a        ""     ""       ""            "CWISE J043053.41+463333.6" 67.717008     46.557647      18.161 0.171 14.31  0.018 12.014 ""    8.706  ""    16.13  0.03   14.22  0.02   Mace13a        ""            ""          T8                 Mace13a        ""          98.0       98.0         96.1        2.9            Kirk21          TAU                         0.0                        
  "SIMP J04323767-0639501"     68.157           -6.664            J0432-0639      Robe16                           N                                       N                                         N                   Field                        "2MASS J04323767-0639501" 68.156991      -6.663926       1998-10-16  15.579  0.046      Cutr03      14.687  0.058      Cutr03      13.927   0.051       Cutr03        000        ""                          ""      ""       ""             ""      ""       ""            ""      ""       ""             ""     ""       ""            "CWISE J043237.76-063952.8" 68.1571196    -6.6639995     13.454 0.013 13.212 0.011 12.204 0.439 8.519  ""    ""     ""     ""     ""     ""             ""            ""          "L2 pec (red)"     Robe16         ""          82.0       82.0         27.8        0.7            Gaia23          ABDMG                       0.0                        
  "MHO 8"                      68.2582          24.35             ""              Bric98                           "Y: Krau06"                             N                                         SFR;lowg            Taurus!                      "2MASS J04330197+2421000" 68.258238      24.350002       1997-11-30  10.862  0.021      Cutr03      10.14   0.022      Cutr03      9.726    0.018       Cutr03        s00        "UGCS J043301.97+242059.8"  ""      ""       ""             ""      ""       ""            ""      ""       ""             9.797  0.001    WFAU19        "CWISE J043301.98+242059.8" 68.258183     24.3500654     9.513  0.012 9.177  0.01  9.006  0.039 7.859  ""    9.24   0.05   9.13   0.04   Luhm06c        M5.5          Bric98      M7.1               Zhan18a        75.5        77.1       75.5         7.74        0.08           Gaia23          TAU                         0.998                      
