# wl(um)  flux(Jy) eflux(Jy)
  4.05246 0.002808 2.61E-4  
  4.06214 0.002681 2.36E-4  
  4.07181 0.003001 2.46E-4  
  4.08149 0.003166 2.29E-4  
  4.09117 0.002979 2.3E-4   
  4.10084 0.003063 2.29E-4  
  4.11052 0.0032   2.29E-4  
  4.12019 0.003324 2.33E-4  
  4.12987 0.003211 2.28E-4  
  4.13955 0.003059 2.32E-4  
  4.14922 0.003164 2.37E-4  
  4.1589  0.003401 2.51E-4  
  4.16858 0.003202 2.41E-4  
  4.17825 0.003115 2.26E-4  
  4.18793 0.002985 2.28E-4  
  4.1976  0.00293  2.28E-4  
  4.20728 0.002708 2.56E-4  
  4.21696 0.00273  2.63E-4  
  4.22663 0.002474 2.38E-4  
  4.23631 0.002473 2.33E-4  
  4.24599 0.002308 2.33E-4  
  4.25566 0.002174 2.34E-4  
  4.26534 0.002063 2.33E-4  
  4.27501 0.00239  2.33E-4  
  4.28469 0.002191 2.34E-4  
  4.29437 0.002278 2.34E-4  
  4.30404 0.002205 2.38E-4  
  4.31372 0.002213 2.57E-4  
  4.3234  0.001933 2.53E-4  
  4.33307 0.002376 2.67E-4  
  4.34275 0.002797 2.89E-4  
  4.35242 0.00279  2.58E-4  
  4.3621  0.002427 2.52E-4  
  4.37178 0.002441 2.44E-4  
  4.38145 0.002698 2.83E-4  
  4.39113 0.002903 2.92E-4  
  4.40081 0.002777 2.98E-4  
  4.41048 0.002727 3.18E-4  
  4.42016 0.002931 2.83E-4  
  4.42983 0.002881 2.88E-4  
  4.43951 0.002332 2.73E-4  
  4.44919 0.002316 2.8E-4   
  4.45886 0.002166 2.74E-4  
  4.46854 0.002167 2.69E-4  
  4.47822 0.002428 2.77E-4  
  4.48789 0.002516 2.84E-4  
  4.49757 0.002534 4.42E-4  
  4.50724 0.002399 4.65E-4  
  4.51692 0.001961 3.43E-4  
  4.5266  0.001792 3.24E-4  
  4.53627 0.001531 3.38E-4  
  4.54595 0.001738 3.51E-4  
  4.55563 0.001412 3.28E-4  
  4.5653  0.001524 3.33E-4  
  4.57498 0.001432 3.44E-4  
  4.58465 0.001491 3.59E-4  
  4.59433 0.001178 3.42E-4  
  4.60401 0.001314 3.43E-4  
  4.61368 0.001075 3.72E-4  
  4.62336 0.001635 4.29E-4  
  4.63304 0.001679 3.57E-4  
  4.64271 0.002077 3.61E-4  
  4.65239 0.001605 3.64E-4  
  4.66206 0.001662 3.83E-4  
  4.67174 0.001734 3.74E-4  
  4.68142 0.001915 3.81E-4  
  4.69109 0.001699 3.87E-4  
  4.70077 0.001577 3.9E-4   
  4.71045 0.001852 4.12E-4  
  4.72012 0.001845 4.22E-4  
  4.7298  0.001512 4.34E-4  
  4.73947 0.001322 4.23E-4  
  4.74915 0.001276 4.16E-4  
  4.75883 0.001647 4.38E-4  
  4.7685  0.001199 4.38E-4  
  4.77818 0.00118  4.47E-4  
  4.78786 0.001746 4.5E-4   
  4.79753 0.00153  4.59E-4  
  4.80721 0.001523 4.6E-4   
  4.81688 0.001693 4.89E-4  
  4.82656 0.001826 5.08E-4  
  4.83624 0.001664 5.26E-4  
  4.84591 0.001329 5.35E-4  
  4.85559 0.002018 5.96E-4  
  4.86527 0.002214 5.5E-4   
  4.87494 0.001707 5.22E-4  
  4.88462 0.001759 5.71E-4  
  4.89429 0.002004 5.81E-4  
  4.90397 0.002076 5.82E-4  
  4.91365 0.001954 6.08E-4  
  4.92332 0.001265 6.02E-4  
  4.933   0.001792 6.19E-4  
  4.94268 0.001661 6.24E-4  
  4.95235 0.001274 5.94E-4  
  4.96203 0.001378 5.96E-4  
  4.9717  0.001753 6.14E-4  
  4.98138 0.002449 5.89E-4  
  4.99106 0.002236 5.63E-4  
